"С ЭТОЙ селедкой нас познакомили ""Иваси""."	Селедка Таня
Таким по счету был слет-симпозиум районных городов.	Пятый
"""Нет времени, чтобы себя обмануть""."	"""Поезд N 193"""
"""Мелко вьет канитель да плете кружева""."	"""Посошок"""
Именно он стучит пулеметом.	"Дождь — ""Странная Сказка"""
Каждому ему — место упасть.	"Яблоку — ""Песня без слов"""
"""Уже поздно: все спят, и тебе пора спать""."	"""Игра"""
Именно их парча на моем плече.	"Звезд — ""Черная Метка"""
"Именно он ""хохотал будто впервые""."	"Гром — ""Дождь"""
"""Кого-то не спас"" именно он."	"Укол — ""Новая Кровь"""
Именно он всегда прав.	"Правофланговый — ""Новый Метод"""
"Этот город БГ определяет как ""состоянье ума""."	Вавилон
Именно этому русскому поэту принадлежит пуговица.	Пушкину
Этому можно поучиться у рыб в Москве-реке.	Дышать отравой
Именно это устали делать куры-дуры.	Яйца и цыплят считать
"Ты делаешь это, ""хоть руки разбиты""."	Ломишься в двери
Распусти свои клеши, а его наливай в стакан.	"""Кавказ"""
Именно это читал вечерами художник, чуть не плача.	Брехню
Вся жизнь — она. С ней сравнивал жизнь еще Пушкин.	Телега
Влюбленный в Алену был счастлив с ней именно там.	В яслях
"Именно столько лет тому, кто ""выполз из тьмы""."	Триста
"Именно она ""затмила имена тех лет""."	"""Новая волна"""
Он настолько темный, что скрывает ответы от вопросов.	Лес
"""И играет клоун на трубе""."	"""На лице у них улыбки"""
Господь дал их однажды и новых их не будет.	Старых друзей
На флаге ВВС Финляндии до сих пор находится ОНА.	Свастика
ЭТОТ огромный четырехглазый ПЕС охранял мир мертвых.	Гарм
"Переведите на итальянский ""свёрток патронов""."	Картечь
Именно так называется спираль, обтекаемая током.	Соленоид
Это и собака, и материал для изготовления перчаток.	Лайка
"Доп2. Скажите по-японски ""мягкий путь""."	Доп 2. Дзю-ДО
Этим немецким словом называется альбом для марок.	КЛЯссер
"Скажите по-фински ""безлесая, плоская вершина""."	Тундра
"Скажите на санскрите ""деяние"" или ""поступок""."	Карма
Это — основное население бывшего Западного Берлина?	Немцы
Его взятие завершило Ахал-Текинские экспедиции?	Геок-Тепе
Это последний фильм Стенли Кубрика?	Широко закрытые глаза
Именно в этот день была взята Бастилия.	14 июля 1789 года
Этот человек построил первый в мире вертолет.	Б. Н. Юрьев
До 1946 г. именно так именовалась Иордания.	Трансиордания
Именно так называется еврейская изюмная водка.	Пейсаховка
Именно у этой русской императрицы был дядя Ваня	Елизавета
Прибор буссоль служит для измерения...	Магнитного азимута
Жители этой страны предпочитают пить водку теплой.	Японцы
Он основал Главную палату мер и весов в России.	Менделеев
"Именно он написал комедию ""Месяц в деревне""."	Тургенев
Эта буква стоит на 16-м месте в русском алфавите.	"""О"""
Удаление этого резко облегчает задачу тягловой силы.	баба
В лингвистике ИМ противопоставляются дисфемизмы	Эвфемизмы
"Этот цветок — ""звездный"" уже по своему названию"	Астра
Ее классический перевод принадлежит Гнедичу.	"""Илиада"""
"Именно он написал танго ""Черные глаза""."	(Оскар) Строк
Так называется кавказский гранатовый соус.	"""Наршараб"""
В ряде областей России этот зверь именуется язвук.	Барсук
ТАК называются отростки нервных клеток.	Аксоны и дендриты
"У дорожного знака ""Стоп"" именно СТОЛЬКО углов."	Восемь
"Англоязычное название ЭТОГО — ""hitchhiking""."	Автостоп
ТАМ живет красавица по имени Олеся.	В белорусском Полесье
"Именно это по-арабски означает слово ""динар""."	Золотой
Эта Софья Павловна предпочла Александра Алексею.	Фамусова
ОН был упразднен после сезона 1998/99 годов.	Кубок кубков
16 июня 1671 года ЕГО четвертовали в Москве.	Степан Разин
ЭТОТ ГЕРЦОГ был главным врагом мишек Гамми.	Герцог Икторн
СТОЛЬКО главных судей обслуживают баскетбольный матч.	Два
ТАК называется таран в виде фигуры на носу корабля.	Ростр
ТАК иначе называется высокий напольный светильник.	Торшер
ОН находится в городе Арлингтон, штат Вирджиния.	Пентагон
Вопреки своему названию, ОН не рубит, а строгает.	Рубанок
"Горькими слезами истекает ""Спрут""..."	Александр БУЙНОВ
На иврите ЭТА страна называется Сфарад.	ИСПАНИЯ (сефарды)
ТАК по-другому называется рибофлавин.	Витамин B2 [бэ-два]
ТАК называется самый известный в мире крОмлех.	Стоунхендж
ЭТОТ ГЛАГОЛ образован от четвертой буквы.	"""Глаголить"""
ЭТО любимый напиток Джеффри Лебовски.	"""Белый русский"""
Именно ТАК в геологии называется самая древняя эра.	Архей
У Чапека барабан и две палочки обозначали ЭТУ ЦИФРУ.	Пять
Фудзин — бог ветра, а бога грома звали именно ТАК.	Райдэн
"Девиз ЭТОГО ШТАТА таков: ""На север в будущее""."	Аляска
Орден святой Анны был учрежден в честь ЕГО дочери.	Петр I
"По-чешски ОН будет ""mrakodrap"" [мракодрап]."	Небоскреб
ЭТО ЗВАНИЕ соответствовало старшему сержанту.	Фельдфебель
ОН считается самым известным эскейпологом.	[Гарри] Гудини
В индийской астрологии ИХ насчитывается 27.	Знаки Зодиака
Изображая ЭТОГО ПРОРОКА, Джотто нарисовал лишь ноги.	Иона
"Так называемый ""аптекарский ОН"" равен 12 унциям."	Фунт
"СКАЖИТЕ по-венгерски ""трактир""."	Чарда {зачет: чардаш}
10 миллионов в русском счете назывались еще и ТАК...	Ворон
Имя ЭТОЙ женщины-змеи получило безобидное сумчатое.	Ехидна
"Именно ТАК переводится с немецкого слово ""шланг""."	Змея
ИХ песня дала название теме.	"""Запрещенные барабанщики"""
Именно ее пьет президиум слета-симпозиума.	"""Столичную"""
Именно ею сегодня красна луна.	"Каплей крови — ""Печаль"""
"""Мой лес болен"" именно ей."	"Луной — ""Ветер Перемен"""
Именно они в трамваях говорят о звездной войне.	Пенсионеры
Этот месяц — сезон для змей.	"Сентябрь — ""Сергей Ильич"""
Иннокентий в горах плакал над строкой этого поэта.	Гораций
"Он ""движется с юга на крыльях Весны""."	Иван Бодхидхарма
Именно такое одеяние на пилотах черного истребителя.	Чадра
БГ просит Бога удвоить выдачу спирта именно им.	Полярникам
Именно столько стоило такси с вокзала в Москве.	100 баксов
Они с детства стреляли без промаха в цель.	Виконт и инфант
Именно они кружат там, где раньше был цветущий сад.	ВОроны
Он весь горел, и от счастья и боли сжимал кулаки.	Режиссер
Буря — пустяк, гораздо трудней выдержать его.	Полный штиль
У дверей этого заведенья народа скопленье.	"Кафе ""Лира"""
Рыбке в банке чуть-чуть виден даже этот предмет.	Телевизор
"""Когда погасят свет""."	"""Ты помни — я рядом с тобой"""
Именно в этом месяце флюгер сгинул в чужом дворе.	В январе
"Именно он ""у воды высится, как мираж""."	Древний корабль
Только ЭТОТ город трижды принимал Олимпийские игры.	Лондон
"ЭТО в Финляндии называют ""лисьи огни""."	Северное сияние
Легенду о его пятимиллионном войске создал Геродот.	Ксеркс
"Скажите по-гречески ""справедливо негодующая""."	Немезида
Границы стольких государств сходятся на Северном полюсе?	5
"Этому генералу посвящен роман ""Париж на три часа"""	Мале
Этот сын Барки совершил сразу два горных перехода	Ганнибал
"Именно так мы называем зубы-""восьмерки""?"	Зубы мудрости
Ему мы обязаны появлением этого чудесного вещества?	Нобель
Дюгони и ламантины относятся именно к этому отряду.	Сирены
Именно этот фильм принес славу Марлен Дитрих	ГОЛУБОЙ АНГЕЛ
"Именно эту птицу на Руси называли ""желна"""	ЧЕРНЫЙ ДРОЗД
Именно на этой широте находится остров Марии-Терезии	на 37
"Это и модель ""Форда"", и почетное сопровождение."	Эскорт
Этот цвет не могут отличить от зеленого дальтоники	красный
Этот винзавод представляет собой гордость Крыма.	Массандра
Он жил в доме номер 16 по Малой Касательной улице.	Корейко
В 1948 году город Ораниенбаум переименовали в...	Ломоносов
Об изделии из ЭТОГО минерала поведал нам П. Бажов.	Малахит
Именно он в 1534 г. основал орден иезуитов.	Игнатий Лойола
В античные времена этот город именовался Медиоланум.	Милан
В 1892 году Мамин-Сибиряк написал этот роман.	"""Золото"""
Так называется набор чертежных принадлежностей.	Готовальня
"Россияне играют в ""американку"" именно там."	На бильярде
Саранчовые относятся к этому отряду насекомых.	Прямокрылые
"ЭТОТ МЕТАЛЛ в старину называли ""свиным железом""."	Чугун
"Псевдоним у солиста ""Сектора Газа"" был ТАКОЙ."	Юрий Хой
ИХ первый диск вышел еще в 1964 году.	"""Роллинг Стоунз"""
У коровы книга — одна из составных частей... ЧЕГО?	Желудка
Именно этот город до 1928 года назывался Алёшки.	Цюрупинск
Именно ЭТОТ ВИД корня называли стороной.	Квадратный корень
Согласно китайской пословице, в лесу ИМИ не торгуют.	Дрова
В ЭТОЙ ИГРЕ — 3 периода по 12 минут каждый.	Пляжный футбол
"""ИМИ бывают собаки. А мы — научные работники!""."	Ученые
"По-английски ОНО называется ""Чукчи си""."	Чукотское море
"В мультфильме ""Геркулес"" ОНА еще страшнее Аида."	Геката
"ТАКИЕ автобусы называются ""даблдеккерами""."	Двухэтажные
"ЕГО девиз — ""Единство, дисциплина и труд""."	Кот-д'Ивуар
"Именно ТАК звучат по-японски слова ""путь богов""."	СИНТО
ЭТОТ ГОРОД является центром Поморского воеводства.	Гданьск
Название ЭТОМУ ЭЛЕМЕНТУ дала не страна, а краситель.	Индий
ЕГО гол в финале Евро-2004 стал золотым.	Ангелос Харистеас
Город Нью-Йорк находится именно в ЭТОМ ШТАТЕ США.	Нью-Йорк
ОНО изображено на гербе провинции ПрАчинбурИ.	Дерево Бодхи
"Песня ""Розы ЕЕ"" посвящена событиям 1916 года."	Пикардия
"ЕГО ""Начала"" уместились всего лишь в 15 томиков."	Евклид
Именно ЭТОТ цвет традиционно связывают с Ирландией.	Зеленый
Русский язык относится именно к ЭТОЙ семье.	Индоевропейской
ИХ нахождение в одной банке не сулит ничего хорошего.	Пауки
ЭТО ближайшая к Солнцу звезда.	Проксима Центавра (не Альфа)
Адар, Тевет, Сиван, Шват...	Нисан (Авив) (еврейские месяцы)
ЭТИМ вином отравил Азазелло Мастера и Маргариту.	Фалернское
"""Долго шли зноем и морозами""."	"""Время Колокольчиков"""
"""Императорский серый сюртук""."	"""Грибоедовский Вальс"""
"""Да сходил бы ты по воду, мил человек!""."	"""Имя Имен"""
Святых на ней — только знай выноси.	"На Руси — ""Посошок"""
"""В наших глазах рождение дня и смерть"" именно его."	Огня
"Именно он по-латыни ""может говорить, как Цицерон""."	Саша
Именно в это время года герой Цоя уже не греет пиво.	Весной
Именно такая пыль на сапогах.	"Звездная — ""Группа Крови"""
Все бегут вперед, крича именно это.	"""Ура!"" — ""Печаль"""
Именно там Святая София нашла Никиту Рязанского.	Под кустом
"Их иконы упоминаются в песне ""Гарсон N 2""."	Иконы битлов
Этот генерал говорил с водой, и вода отвечала ему.	Скобелев
Именно они спускаются с гор.	"Вороны — ""Два тракториста"""
Именно оно может спасти, но до него не дойти.	Холодное пиво
"""У всех самолетов по два крыла""."	"""Стерегущий Баржу"""
"""Черный ветер кружит над мостами""."	"""Голубой Огонек"""
Он приехал на фронт со своей молодой женой.	Полковник Васин
"Он ""едва встает, синий с похмелья весь""."	Сторож Сергеев
В квартире под этим номером жила Масяня под новый год.	1734
Именно его ложку предлагала Масяня добавить в чай.	Горького
Поскольку ветер все сильней, не танцуй именно там.	На крыше
"""Выезжайте за ворота и не бойтесь"" именно его."	Поворота
На этих книгах прошло наше общее детство.	На одних букварях
Именно это в апреле протрубит ветер над городом.	Отход зимы
Мы не можем сказать это слово.	"""Нет"" — ""Я рисую тебя"""
Путь на Соловки начинался с этого причала.	С Архангельского
"""Пусть горе и печаль"" тают именно ей."	Церковной свечкой
"ОН просил Фандорина называть его просто ""шеф""."	Бриллинг
Норвежская, датская и шведская кроны делятся на 100 ИХ.	Эре
То, что на латыни ареал, по-гречески будет именно так.	Зона
Так называется оплата услуги или творческой работы.	Гонорар
Доп1. Кобра, аспид, гюрза, продолжите ряд.	Доп1. ЭФА (змеи)
"Эту страну часто называли ""страной городов""."	Нидерланды
Именно так в Древнем Риме назывался командир легиона.	Легат
"Скажите по-гречески ""то, что следует прочесть""."	Легенда
Именно так древние греки называли просто землемера.	Геометр
Именно такое звание носит главный судья города Мекки.	Шериф
Именно так называется команда из Минеральных Вод?	Локомотив
"Так полностью звучит название клуба ""ТоПо""?"	Торпан Поят
Ее сила раньше была основной для измерения мощности.	Лошадь
Именно этот остров назван в честь Мориса Оранского	МАВРИКИЙ
Именно его Цезарь запретил носить бездетным женщинам	ЖЕМЧУГ
Именно так называется самое крупное млекопитающее	синий кит
Хоть эта киногероиня любила, да не вышла замуж.	Ася Клячина
Некое отношение к борзым щенкам имел судья...	Ляпкин-Тяпкин
Опытный бегун-стайер всегда старается захватить это.	бровку
На гербе этого города изображено семь шатров.	Семипалатинск
Кумач был традиционно красного цвета, а китайка -...	синего
Именно такова настоящая фамилия Леси Украинки.	Косач-Квитка
На ЭТОМ острове находится вулкан Хваннадальсхнукюр	Исландия
Они бывают железные, каменные и железно-каменные.	Метеориты
Именно так называется курс корабля относительно ветра.	Галс
Именно так называется ротовой орган личинки стрекозы.	Маска
В Мехико в метро объявляют только эти станции.	Пересадочные
Есть футболист С ТАКОЙ ФАМИЛИЕЙ. Холостой.	Ярослав Несвадба
ЭТИ ОРГАНЫ растут у грызунов на протяжении всей жизни.	Зубы
"ЕЕ голос звучит в песнях ""Иронии судьбы""."	Алла Пугачева
ЕЕ народное название — уссурийский енот.	Енотовидная собака
"Его прозвищем было ""Галлопирующий майор""."	Ференц Пушкаш
На гербе этого города изображено семь шатров.	Семипалатинск
"ОН вошел в японский флот под именем ""Сойя""."	"""Варяг"""
ТАК звали любимую жену товарища Сухова.	Екатерина Матвеевна
У ЭТОГО ГОНЩИКА была справка, что он не псих.	Юрий Деточкин
ОН был крещен в Чудовом монастыре 29 июня 1672 года.	Петр I
ОН просил не рвать его серебряные струны.	Владимир Высоцкий
ЭТОТ старинный ГОРОД называется так же, как диск.	Винчестер
ЭТОТ МИНЕРАЛ соответствует твердости 2 по шкале Мооса.	Гипс
"ЭТА ГРУППА записала альбом ""Ихтиология""."	"""Аквариум"""
Вознесенский сравнил ИХ с треугольными пловчихами.	Ласточки
Собор Парижской Богоматери расположен на ЭТОМ ОСТРОВЕ.	Ситэ
Именно СТОЛЬКО зебр поддерживают щит на гербе Ботсваны.	Две
ЕЕ легкие были заполнены водой из реки Оуз.	Вирджиния Вульф
Именно ЕГО ФИФА назвал лучшим игроком ЧМ-2010.	Диего Форлан
В произведении Суфановой ЭТО ИМЯ носит царица Ада.	Аделаида
ЭТОТ ИНСТРУМЕНТ можно увидеть на гербе Великобритании.	Арфа
"""Взбесился я за поврежденный шлем""."	"""Скупой рыцарь"""
Черной рамкой обведен ЕГО портрет на марке 1924 года.	Ленин
Именно ЭТОТ ГОРОД позволил нам расхаживать в джинсах.	Генуя
"СТОЛЬКО букв ""л"" надо писать в слове ""параллель""."	Три
ЭТОТ предмет Шекспир отписал своей жене в завещании.	Кровать
"Скажите по-монгольски ""монгольская почта""."	Монгол Шуудан
Свечной заводик в ЭТОМ городе был мечтой отца Федора.	Самара
Вместе с НЕЙ погибла и ее сестра — Лиза.	Старуха-процентщица
ЭТО государство Среднеземья славилось своими лошадьми.	Рохан
"Так по-испански звучит слово ""расследование""."	Инквизиция
Именно в такой одежде явилась Надюха.	В матросской тельняшке
Небо пахнет именно этим.	"""Запахом твоих волос""- ""Ежик"""
"Только ее не руби, потому что ""в ней святая сила""."	Вишня
Именно он разгулялся на печи.	"Пожар-самовар — ""Имя Имен"""
"Именно он ""теснится в горле комом""."	"Крик — ""Легенда"""
Нам с тобой не пить именно из таких колодцев.	Из заплеванных
"Именно она ""везет меня туда, куда я не хочу""."	Электричка
"Именно их Саша ""гоняет хворостиной, как коров""."	Негодяев
"""Шаг за шагом, босиком по воде""."	"""Красное На Черном"""
Именно они — сумерки и пролет окна.	"Думы мои — ""Сумерки"""
"Он ""не помеха, покуда есть Вера!""."	"Навет — ""Кибитка"""
"Именно он ""жизнь в природу вдохнул""."	"Ветер — ""Лодка"""
Именно они чешут плеши.	"Академики — ""Все Это Рок-н-ролл"""
Он идет по свету, сжимая крюк в кармане брюк.	Корнелий Шнапс
"""Зуд телефонов, связки ключей""."	"""Опираться О Платан"""
Именно в ней есть логический блок.	"""В моей альтернативе"""
С этим существом сравнивается старик Козлодоев.	С коростелем
"Этот небесный град ""горит сквозь холод и лед""."	Иерусалим
Именно туда прятал женщин мальчик Евграф.	В несгораемый шкаф
"""Как странно то, что затеваю я""."	"""Орел, Телец и Лев"""
К Иванову приходят люди с чемоданами именно этого.	Портвейна
"""Какие нервные лица — быть беде""."	"""Рок-н-ролл Мертв"""
"""Как пойдешь чинить — ты все поймешь сама""."	"""Мается"""
Именно его очки предлагала Масяня стянуть из музея.	Набокова
Именно они образуют хоровод, который лучше забыть.	Серые дни
"""И в огне почти не горим""."	"""Мы — охотники за удачей"""
Если время прервало бег, то и на него надежды нет.	На апрель
"""Кто я такой, чтоб оборвать"" именно ее."	Хрустальную нить
Это заведение отличают табачный смрад и винные лужи.	Варьете
Именно он посетил студентов.	"Ельцин — ""Памяти Бродского"""
"""Лето в дороге кончалось"" именно ею."	"Зимою — ""Двери"""
Именно на нее клюет уже двадцать восьмой кандидат.	На панаму
Нас не замечают именно из-за этого.	Из-за разницы в размерах
По мнению Афанасия Зюкина, ОН был профессией Фандорина.	Риск
"Георге Хаджи имеет прозвище ""ТАКОЙ Марадона""."	Карпатский
Этот герой Пушкина был большой мастак давать шелобаны.	Балда
Доп. МВД ИЛИ ТЫ, или МОРСКАЯ СЪЕДОБНОСТЬ.	МИД|И|Я (16.07.98)
Так искаженно на Руси называли вольных каменщиков.	ФАрмазоны
"Скажите на языке кечуа ""узелок""."	Кипу (узелковое письмо)
"Скажите на языке индейцев тупи ""рыба"" и ""зуб""."	Пиранья
Этот император приходился сыном Александру II.	Александр III
Если она — девушка с плеером, то чего не любит он?	Дискотеки
Смотреть именно такие фильмы просто обожает Гусена?	Ужастики
Сколько позвонков в грудном отделе позвоночника человека?	12
В настоящий момент он является президентом ФРГ.	Йоханнес Рау
"Доп 2. Этот ""осветитель"" — тоже окно."	Доп 2. Иллюминатор
Это растение древние греки называли плодом Диониса.	Виноград
Именно так называется вода высшей степени очистки.	Дистиллят
Эта смертельно ядовитая рыба — лакомое блюдо у японцев.	Фугу
Как называется государственный язык Индонезии?	индонезийский
Смесь этих кислот называют царской водкой.	Соляной и азотной
В человеческой голени две кости:...	большая и малая берцовая
Он подарил юным читателям и Чиполлино, и Джельсомино.	Родари
К ним, в числе прочих, относится и сфигмоманометр.	Тонометры
"Кто написал рассказ ""Гадюка""?"	Алексей Николаевич Толстой
Какая группа поет про овощное танго?	"""Несчастный случай"""
Так звали знаменитого французского шансонье.	Серж (Гейнсбур)
"Именно она была режиссером фильма ""Мужики!""."	Искра Бабич
Изобретение свирели приписывается этому греческому богу.	Пан
ЭТОТ советский ЗНАК был производным от звезды.	Знак качества
"Эта фирма советовала: ""Оденься прилично""."	"""Lee"" [ли]"
ЭТОТ ПАЛЕЦ противопоставляет высших приматов низшим.	Большой
"На практике ЕГО часто называют попросту ""палкой""."	Станок
Этруски дали свое имя целому морю — именно ЭТОМУ.	Тирренское
ЭТО и бумага с водяным знаком, и сам водяной знак.	Филигрань
ЭТОМУ НАРОДУ Палестина обязана своим названием.	Филистимляне
В середине XV века ОН победил Дмитрия Шемяку.	Василий Темный
ЕГО подписал Иван Сирко.	Письмо запорожцев турецкому султану
"ОН написал стихотворение ""Детки в клетке""."	Самуил Маршак
ЭТОТ СИКВЕЛ Кевин Лим снял в 1996 году.	"""102 далматинца"""
ЭТИ ИЗДЕЛИЯ изготавливают мастера нэцукэси [нэцукЭси].	Нэцке
"ИМЕННО ОН основал журнал ""Der Spiegel""."	Лион Фейхтвангер
ЕГО создал в 1878 году Питер Доддс Маккормик.	Гимн Австралии
Вдохнув ЕГО, можно вызвать удушье и сердечную аритмию.	Бутан
На гербе ЭТОЙ СТРАНЫ Восточной Африки изображен петух.	Кения
В ЭТОЙ ИГРЕ существует правило блуждающего квадрата.	Шахматы
ТАК называется оборотень-лисица в японской мифологии.	Кицунэ
ЭТО означает буква V в названии платежной системы VISA.	VISA
Из ЭТОГО делается ритуальный индуистский сосуд капала.	Череп
На гербе ЭТОГО ШТАТА щит держат два сумчатых волка.	Тасмания
ТАМ покоятся и Чарльз Диккенс, и Чарльз Дарвин...	Вестминстер
Благодаря ЕМУ Сократ смог оказаться в Хельсинки.	Мартти Ларни
В 1697 году ОН получил чин генералиссимуса.	Евгений Савойский
Одним из подвигов Геракла была кража коней ЭТОГО царя.	Диомед
L. van Beethoven. 2 Son. (op.2, N2).	"""Гранатовый браслет"""
На ЕГО могиле в Атланте горит вечный огонь.	Мартин Лютер Кинг
Именно они не могут поделить меж собой корону.	Двуглавые орлы
"Именно она ""рвется в бой и крутится, как счетчик""."	Память
"Эти два металла упомянуты в песне ""Ежик""."	Платина, свинец
Восьмиклассница любит своих кукол и именно их.	Воздушные шары
"""Мое место слева, и я должен там сесть""."	"""Троллейбус"""
Эти два существа жили под лестницей.	"Крыса и пес — ""Кода"""
Именно этой действо сегодня в замке зеркал.	"Бал — ""Вечер"""
Именно такой день будет потом.	"Завтрашний — ""Смутные Дни"""
Именно он приземлился на поле.	"Дракон — ""Дело Мастера Бо"""
"""Весьма не случайно, весьма не случайно""."	"""Плоскость"""
Именно он несет нам радость и сомнений гонит тень.	Новый день
Именно этим засыпят кукол, снятых с нитки длинной.	Нафталином
Если ты одинок, он ждет тебя за углом.	Перекресток семи дорог
"Именно там ""в домах и сухо, и тепло""."	За тридевять земель
Именно так звались лодки.	"""Вера"", ""Надежда"", ""Любовь"""
Ветер разгладит его у великой реки.	"Песок — ""Тихие песни"""
"""Из друзей, козырей и богов я оставил"" именно ее."	Надежду
"Именно это воскликнули ""все, кому мы верили""."	"""Тону!"""
"Мохаммеда Али в фильме ""Али"" играет ЭТОТ актер."	Уилл Смит
"В лиге MLS ""Реал"" представляет ЭТОТ город."	Солт-Лейк-Сити
"Главой организации ""Люди в черном"" является ЭТОТ АГЕНТ."	Z
Олимпийский огонь зажгли Ханнес Колехмайнен и ОН.	Пааво Нурми
Доп. В России авиашоу в Тушино, а во Франции?	Доп. В Ла Бурже
Его атрибутами считались гром, молния и дубовое полено.	Перун
Именно этот святой является покровителем Венеции.	Святой Марк
"Скажите по-гречески ""рассказ о прошлых событиях""."	История
"Скажите по-португальски ""рыба с большой головой""."	Кашалот
Именно этот город является центром провинции Бискайя?	Бильбао
Эта газета — Центральный орган Компартии Китая	Жэньминь жибао
Мимические мышцы лица прикрепляются непосредственно...	К коже
Этой страной управляли короли из династии Капетингов.	Франция
За 12053 дня жизни он не ударил пальцем о палец.	Илья Муромец
Именно эту азиатскую столицу называют городом ангелов	БАНГКОК
Именно в этом городе аэропорт носит имя Леонардо да Винчи	РИМ
Именно он наиболее часто встречается на почтовых марках	РОЖОК
"Именно эта операция описана в новелле Цвейга ""Амок"""	АБОРТ
"У ""Арии"" он был асфальта, а у ""Кино"" — последний."	Герой
Так называется река Западная Двина в пределах Латвии.	Даугава
